Source,Target,Type,Weight
6,66,Undirected,3
6,74,Undirected,3
57,66,Undirected,3
57,74,Undirected,3
66,74,Undirected,3
77,71,Undirected,3
77,40,Undirected,1
71,40,Undirected,1
40,5,Undirected,2
40,36,Undirected,1
5,36,Undirected,3
11,36,Undirected,4
11,77,Undirected,4
36,77,Undirected,7
11,71,Undirected,3
11,5,Undirected,2
5,77,Undirected,2
71,36,Undirected,1
71,5,Undirected,1
38,77,Undirected,2
38,36,Undirected,4
11,4,Undirected,2
11,29,Undirected,3
4,29,Undirected,2
11,6,Undirected,2
11,15,Undirected,1
29,6,Undirected,2
29,15,Undirected,1
11,27,Undirected,1
11,3,Undirected,1
11,57,Undirected,1
11,66,Undirected,1
11,74,Undirected,1
11,67,Undirected,1
29,27,Undirected,1
29,3,Undirected,1
29,57,Undirected,1
29,66,Undirected,1
29,74,Undirected,1
29,67,Undirected,1
27,57,Undirected,1
27,66,Undirected,1
27,74,Undirected,1
27,67,Undirected,1
3,57,Undirected,1
3,66,Undirected,1
3,74,Undirected,1
3,67,Undirected,1
57,67,Undirected,1
66,67,Undirected,1
74,67,Undirected,1
6,67,Undirected,1
67,4,Undirected,1
4,61,Undirected,1
40,37,Undirected,3
40,22,Undirected,2
37,22,Undirected,5
43,38,Undirected,5
43,56,Undirected,7
43,39,Undirected,7
38,56,Undirected,3
38,39,Undirected,3
56,39,Undirected,10
43,47,Undirected,7
38,47,Undirected,4
56,47,Undirected,8
39,47,Undirected,9
40,47,Undirected,1
40,24,Undirected,1
40,39,Undirected,2
47,24,Undirected,1
24,39,Undirected,1
38,37,Undirected,2
38,22,Undirected,2
43,37,Undirected,4
43,22,Undirected,4
40,56,Undirected,1
40,43,Undirected,1
40,33,Undirected,1
43,33,Undirected,2
37,33,Undirected,3
47,22,Undirected,3
38,33,Undirected,1
56,11,Undirected,6
56,12,Undirected,1
39,11,Undirected,6
39,12,Undirected,1
11,47,Undirected,6
11,12,Undirected,1
47,12,Undirected,1
11,43,Undirected,4
11,37,Undirected,2
11,22,Undirected,2
47,37,Undirected,2
37,56,Undirected,2
37,39,Undirected,2
56,22,Undirected,2
39,22,Undirected,2
11,33,Undirected,1
47,33,Undirected,1
56,33,Undirected,1
39,33,Undirected,1
22,33,Undirected,1
40,78,Undirected,2
40,32,Undirected,3
78,32,Undirected,6
45,7,Undirected,3
45,38,Undirected,2
7,38,Undirected,2
38,68,Undirected,2
45,68,Undirected,2
7,68,Undirected,2
11,32,Undirected,1
11,78,Undirected,1
76,51,Undirected,1
11,7,Undirected,1
11,45,Undirected,1
11,68,Undirected,2
76,7,Undirected,1
76,45,Undirected,1
40,59,Undirected,4
11,75,Undirected,2
38,75,Undirected,2
75,59,Undirected,1
75,79,Undirected,2
75,41,Undirected,1
79,41,Undirected,1
79,51,Undirected,2
41,51,Undirected,1
78,38,Undirected,1
79,26,Undirected,2
26,51,Undirected,1
26,75,Undirected,1
2,62,Undirected,1
2,20,Undirected,1
62,20,Undirected,1
78,72,Undirected,1
32,72,Undirected,1
11,79,Undirected,1
