Source,Target,Type,Weight
37,33,Undirected,4
25,33,Undirected,3
56,33,Undirected,2
14,33,Undirected,4
37,11,Undirected,5
25,11,Undirected,5
56,11,Undirected,5
7,32,Undirected,1
37,7,Undirected,9
37,50,Undirected,6
25,7,Undirected,9
25,50,Undirected,6
56,7,Undirected,8
56,50,Undirected,5
7,50,Undirected,7
7,11,Undirected,3
11,50,Undirected,2
25,58,Undirected,1
7,33,Undirected,3
7,14,Undirected,2
7,58,Undirected,1
33,50,Undirected,4
14,50,Undirected,3
14,58,Undirected,1
50,58,Undirected,1
14,87,Undirected,2
87,37,Undirected,3
87,56,Undirected,3
87,7,Undirected,1
87,25,Undirected,3
87,50,Undirected,1
37,44,Undirected,1
37,2,Undirected,1
25,44,Undirected,1
25,2,Undirected,1
56,44,Undirected,1
56,2,Undirected,1
44,2,Undirected,1
44,7,Undirected,1
2,7,Undirected,1
30,4,Undirected,1
4,67,Undirected,3
37,54,Undirected,7
37,66,Undirected,2
25,54,Undirected,7
56,54,Undirected,7
54,66,Undirected,2
54,78,Undirected,2
78,37,Undirected,2
78,25,Undirected,2
78,56,Undirected,2
54,4,Undirected,5
78,4,Undirected,1
4,66,Undirected,1
76,87,Undirected,3
37,27,Undirected,6
37,34,Undirected,6
37,15,Undirected,1
25,27,Undirected,6
25,34,Undirected,6
25,15,Undirected,1
56,27,Undirected,6
56,34,Undirected,6
56,15,Undirected,1
27,34,Undirected,5
27,15,Undirected,1
34,15,Undirected,1
37,61,Undirected,1
25,61,Undirected,1
56,61,Undirected,1
27,61,Undirected,1
61,34,Undirected,1
28,34,Undirected,3
59,81,Undirected,3
37,28,Undirected,2
56,28,Undirected,2
25,28,Undirected,2
27,28,Undirected,2
27,59,Undirected,2
27,81,Undirected,2
27,21,Undirected,3
59,21,Undirected,2
81,21,Undirected,3
21,28,Undirected,1
21,37,Undirected,4
21,56,Undirected,3
21,25,Undirected,3
21,34,Undirected,2
28,59,Undirected,1
28,81,Undirected,1
59,37,Undirected,1
59,56,Undirected,1
59,25,Undirected,1
59,34,Undirected,1
81,37,Undirected,2
81,56,Undirected,1
81,25,Undirected,1
81,34,Undirected,1
21,75,Undirected,1
75,81,Undirected,1
75,37,Undirected,1
71,63,Undirected,2
63,72,Undirected,2
63,37,Undirected,8
63,56,Undirected,7
63,25,Undirected,7
37,72,Undirected,2
72,56,Undirected,2
72,25,Undirected,2
71,37,Undirected,1
71,56,Undirected,1
71,25,Undirected,1
79,63,Undirected,2
79,88,Undirected,1
79,37,Undirected,2
79,56,Undirected,1
79,25,Undirected,1
63,88,Undirected,2
88,37,Undirected,1
88,56,Undirected,1
88,25,Undirected,1
8,17,Undirected,5
8,62,Undirected,5
17,62,Undirected,5
29,8,Undirected,1
29,17,Undirected,1
29,62,Undirected,1
37,8,Undirected,1
37,17,Undirected,1
37,62,Undirected,1
56,8,Undirected,1
56,17,Undirected,1
56,62,Undirected,1
25,8,Undirected,1
25,17,Undirected,1
25,62,Undirected,1
72,8,Undirected,1
72,17,Undirected,1
72,62,Undirected,1
79,8,Undirected,1
79,17,Undirected,1
79,62,Undirected,1
29,63,Undirected,2
29,37,Undirected,2
29,56,Undirected,2
29,25,Undirected,2
37,67,Undirected,2
37,53,Undirected,2
4,53,Undirected,1
76,67,Undirected,1
76,53,Undirected,1
67,53,Undirected,2
37,22,Undirected,9
37,1,Undirected,7
56,22,Undirected,7
56,1,Undirected,6
25,22,Undirected,7
25,1,Undirected,6
22,1,Undirected,7
37,85,Undirected,4
56,85,Undirected,3
56,76,Undirected,9
25,85,Undirected,3
25,76,Undirected,9
22,85,Undirected,4
22,76,Undirected,1
1,85,Undirected,3
1,76,Undirected,1
85,76,Undirected,1
37,41,Undirected,1
37,42,Undirected,2
56,41,Undirected,1
56,53,Undirected,1
56,42,Undirected,1
25,41,Undirected,1
25,53,Undirected,1
25,42,Undirected,1
41,53,Undirected,1
41,1,Undirected,1
41,42,Undirected,1
41,22,Undirected,1
53,1,Undirected,1
53,42,Undirected,1
53,22,Undirected,1
1,42,Undirected,1
42,22,Undirected,2
22,67,Undirected,1
67,42,Undirected,1
76,77,Undirected,1
4,64,Undirected,5
64,37,Undirected,6
64,56,Undirected,5
64,25,Undirected,5
14,18,Undirected,2
14,76,Undirected,2
14,48,Undirected,2
14,69,Undirected,2
14,26,Undirected,2
14,45,Undirected,2
18,76,Undirected,2
18,48,Undirected,2
18,69,Undirected,2
18,26,Undirected,2
18,45,Undirected,2
18,87,Undirected,1
76,48,Undirected,2
76,69,Undirected,2
76,26,Undirected,2
76,45,Undirected,2
48,69,Undirected,2
48,26,Undirected,2
48,45,Undirected,2
69,26,Undirected,2
69,45,Undirected,2
69,87,Undirected,1
26,45,Undirected,2
26,87,Undirected,1
45,87,Undirected,1
4,82,Undirected,2
87,64,Undirected,1
37,65,Undirected,1
56,65,Undirected,1
25,65,Undirected,1
37,69,Undirected,1
37,26,Undirected,1
37,18,Undirected,1
37,45,Undirected,1
56,69,Undirected,1
56,26,Undirected,1
56,18,Undirected,1
56,45,Undirected,1
25,69,Undirected,1
25,26,Undirected,1
25,18,Undirected,1
25,45,Undirected,1
56,82,Undirected,5
25,82,Undirected,5
76,82,Undirected,1
76,64,Undirected,1
24,76,Undirected,1
46,76,Undirected,1
39,76,Undirected,1
64,26,Undirected,1
37,16,Undirected,1
56,16,Undirected,1
25,16,Undirected,1
16,4,Undirected,1
37,51,Undirected,1
51,9,Undirected,1
